Antibiotics	Tier	Dosage	Drug Delivery	Achromobacter	Acinetobacter	Actinobacillus	Actinomyces	Aeromonas	Anaerococcus	Anaplasma phagocytophilum	Anaplasma platys	Arcanobacterium haemolyticum	Atlantibacter hermannii	Atopobium	Bacillus anthracis	Bacillus cereus	Bacillus subtilis	Bacteroides fragilis	Bacteroides	Bartonella henselae	Bartonella quintana	Bartonella	Bordetella pertussis	Borrelia	Burkholderia cepacia	Brucella canis	Campylobacter fetus	Campylobacter jejuni	Campylobacter	Capnocytophaga	Chlamydia abortus	Chlamydia felis	Chlamydia pneumoniae	Chlamydia trachomatis	Citrobacter freundii	Citrobacter	Clostridium botulinum	Clostridium difficile	Clostridium innocuum	Clostridium perfringens	Clostridium	Clostridium tetani	Corynebacterium auriscanis	Corynebacterium diptheriae	Corynebacterium jeikeium	Corynebacterium minutissimum	Coxiella burnetti	Dialister	Eggerthella	Ehrlichia chaffeensis	Ehrlichia ewingii	Ehrlichia	Eikenella	Eikenella corrodens	Elizabethkingia meningoseptica	Enterobacter cloacae	Enterobacter cloacae	Enterobacter	Enterococcus faecalis	Enterococcus faecium	Enterococcus	Erysipelothrix rhusiopathiae	Escherichia coli	Ezakiella	Fastidiosipila sanguinis	Fastidiosipila	Finegoldia magna	Francisella tularensis	Fusobacterium necrophorum	Fusobacterium	Gardneralla vaginalis	Haemophilus ducreyi	Haemophilus influenzae	Haemophilus parainfluenzae	Hafnia alvei	Helcococcus	Helicobacter	Klebsiella aerogenes	Klebsiella oxytoca	Klebsiella ozaenae	Klebsiella pneumonia	Klebsiella rhinoscleromatis	Klebsiella variicola	Kytococcus	Leptospira interrogans	Leptospira kirschneri	Morganella morganii	Mycobacterium	Mycoplasma canis	Mycoplasma cynos	Mycoplasma haemofelis	Mycoplasma penetrans	Mycoplasma	Neisseria gonorrhoeae	Neorickettsia helminthoeca	Nocardia abscessus	Nocardia brevicatena	Nocardia paucivorans	Nocardia nova	Nocardia farcinica	Nocardia cyriacigeorgica	Nocardia brasiliensis	Nocardia otitidiscaviarum	Ochrobactrum	Parabukholderia	Paraburkholderia bryophila	Paraburkholderia fungorum	Parvimonas	Pasteurella	Peptococcus	Peptoniphilus harei	Peptoniphilus	Peptostreptococcus canis	Peptostreptococcus	Porphyromonas	Prevotella	Proteus mirabilis	Proteus penneri	Proteus vulgaris	Providencia rettgeri	Providencia	Providencia stuartii	Pseudescherichia vulneris	Pseudomonas aeruginosa	Pseudomonas	Raoultella	Ricksettia	Salmonella enterica	Salmonella	Serratia marcescens	Shewanella	Shigella	Solobacterium moorei	Solobacterium	Sphingobacterium	Staphylococcus aureus	Staphylococcus epidermidis	Staphylococcus intermedius	Staphylococcus psedintermedius	Staphylococcus schleiferi	Staphylococcus	Stenotrophomonas maltophilia	Streptococcus agalactiae	Streptococcus bovis	Streptococcus canis	Streptococcus constellatus	Streptococcus dysgalactiae	Streptococcus halichoeri	Streptococcus intermedius	Streptococcus milleri	Streptococcus mitis	Streptococcus pneumoniae	Streptococcus pyogenes	Vagococcus	Yersinia enterocolitica	Yersinia
Sulfonamide	1st	30 mg/kg, q 12 hrs	PO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Trimethoprim-sulfamethoxazole	1st	15-30 mg/kg, q 24 hrs	PO	G	F	NA	NA	G	NA	NA	NA	I	G	NA	NA	NA	NA	NA	P	I	I	I	G	NA	G	NA	NA	I	NA	NA	NA	NA	NA	NA	G	G	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	G	NA	NA	NA	NA	NA	G	G	G	G	G	G	I	I	NR	I	G	NA	NA	NA	NA	NA	NA	NA	NA	I	G	G	G	NA	NA	G	F	NA	G	NA	G	G	NA	NA	G	NA	I	I	I	I	I	NA	NA	G	G	G	G	G	NA	G	G	F	G	G	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	G	G	G	G	G	G	I	G	G	NA	G	G	G	NA	G	NA	NA	G	G	F	F	F	G	G	G	G	G	F	G	G	G	G	G	G	G	G	NA	G	G
Metronidazole	1st	10 mg/kg, q 8 hrs	IV	NA	N	NA	NR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	G	NA	NA	NA	G	N	NA	N	NA	NA	NA	NA	NA	NA	NA	I	I	I	N	NR	NA	N	N	NA	NA	N	NA	NR	NR	F	NA	G	NA	G	NA	NA	NA	NA	NA	NA	NA	N	NA	N	NA	NA	NA	NA	NA	NA	NA	N	N	N	N	NR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	F	G	NA	NA	N	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	NA	NA	NA	NA	NA	G	G	NA	N	N	N	N	N	NA	NA	NA	G	N	NA	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Cefovecin	1st	8 mg/kg, once	SC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	NA	I	I	NA	NA	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	F	NA	NA	NA	NA	NA	NA	NA	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NR	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	N	P	G	I	NA	NA	NA	NA	F	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Cefpodoxime	2nd	5 mg/kg, q 24 hrs	PO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	NA	I	I	NA	NA	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	G	NA	NA	NA	NA	NA	NA	NA	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NR	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	F	F	G	P	NA	NA	NA	NA	F	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Ceftiofur	2nd	2.2 mg/kg, q 24 hrs	SC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	I	I	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	F	NA	NA	NA	NA	NA	NA	NA	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NR	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	P	NT	P	F	I	NA	NA	NA	NA	F	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Timentin	2nd	--	Topical Use	NA	NA	NA	NA	NA	NA	NA	NA	NR	NA	NR	NR	NR	NR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	NA	N	N	NA	NA	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	G	NA	NA	NA	NA	NA	NA	NA	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NR	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	NA	NA	G	NA	NA	NA	NA	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	F	F	F	P	NA	NA	NA	NA	F	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Azithromycin	2nd	5 mg/kg q 12 hrs	PO	NA	NA	NA	NA	NA	NA	NA	NA	G	G	NA	NA	NA	NA	NA	NA	G	G	G	G	G	NA	NA	G	G	NA	NA	NA	NA	G	G	I	G	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	G	NA	NA	NA	NA	NA	NA	NA	NA	I	I	G	I	I	NA	NA	F	NA	NA	NA	NA	F	I	NA	NA	G	G	G	G	NA	NA	G	I	NA	I	NA	G	NA	P	P	G	NA	F	F	NA	F	G	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	G	NA	NA	I	G	G	G	G	G	G	I	NA	G	NA	G	G	G	NA	G	NA	NA	NA	F	F	F	F	F	G	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	G
Orbifloxacin	2nd	2.5-7.5 mg/kg, q 24 hrs	PO	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	NA	I	I	NA	NA	G	NA	NA	NA	NA	P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	F	NA	NA	NA	NA	NA	NA	NA	F	F	F	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	NA	NA	NA	NA	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	F	F	F	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chloramphenicol	2nd	35 mg/kg q 8 hrs	PO	NA	NA	NA	P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	NA	NA	G	G	G	NA	G	NA	NA	NA	G	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	G	NA	NA	NA	NA	NA	NA	NA	F	F	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	P	NA	NA	NA	NA	NA	NA	G	NA	G	NA	NA	NA	G	NA	NA	NA	NA	NA	NA	I	NA	NA	G	NA	NA	NA	NA	NA	NA	NA	NA	G	G	G	G	G	NA	NA	NA	NA	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
Florfenicol	2nd	20 mg/kg, q 12 hrs	PO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	NA	F	F	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	I	NA	NA	NA	NA	NA	NA	NA	F	F	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	F	F	F	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amikacin	3rd	15 mg/kg, q 24 hrs	IV, SC	I	G	NA	NR	NA	NR	NA	NA	NR	G	NR	NR	NR	NR	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	G	NR	I	I	I	I	I	NR	NR	I	NR	NA	NA	NA	NA	NA	NA	NA	NA	I	G	G	G	I	I	NR	NR	G	NR	NR	NR	NR	G	NA	NA	NA	NA	NA	NA	G	NA	NA	G	F	NA	G	NA	G	NR	NA	NA	G	NA	F	F	NA	F	G	NA	NA	G	G	G	G	G	G	NA	G	NA	NA	NA	NA	NR	NA	NR	NR	NR	I	NR	NA	NA	G	G	G	G	G	G	G	G	G	G	NA	NR	NR	G	NA	NR	NR	NR	G	NR	NR	NR	NR	NR	NR	I	I	NR	NR	NR	NR	NR	NR	NR	NR	I	NR	NA	G	G
Rifampin	3rd	5-10 mg/kg, q 12 hrs	PO	NR	NR	NR	NA	NR	NA	G	NA	NA	NR	NA	NA	NA	NA	NA	NA	G	G	G	NA	NA	NA	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	NA	NA	NA	G	G	G	G	G	NA	I	NA	NA	P	I	NA	NA	NT2	NA	G	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	I	NA	NA	NA	NA	NA	NA	G	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	G	G	G	G	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Imipenem	3rd	10 or 20 mg/kg, q 8 hrs	--	G	G	NA	P	G	G	NA	NA	G	G	G	NA	G	G	NA	G	G	G	G	NA	NA	NA	NA	G	NA	NA	G	NA	NA	NA	NA	NA	G	NA	G	G	G	G	NA	NA	NA	I	NA	NA	G	G	NA	NA	NA	NA	NA	I	G	G	G	F	I	G	NA	G	G	G	G	G	NA	G	G	NA	NA	G	G	G	G	NA	G	G	NA	G	NA	G	G	NA	NA	G	NA	I	I	I	I	I	NA	NA	NR	NA	NA	G	F	G	NA	NR	I	NA	NA	NA	G	NA	G	G	G	G	G	G	G	F	G	G	G	G	G	G	G	G	G	NA	G	G	G	I	G	G	G	G	G	I	G	F	I	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	NA	NA	G	G
Levofloxacin	3rd	10-30 mg/kg, q 24 hrs	IV/PO	I	F	NA	NA	G	NA	NA	NA	I	G	NA	G	G	G	NA	NA	NA	NA	NA	NA	NA	G	NA	NA	NA	NA	NA	NA	NA	G	G	NA	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	NA	NA	NA	NA	NA	G	G	G	G	G	G	I	I	NA	G	G	NA	NR	NR	P	G	NA	NA	NA	NA	G	G	G	NA	NA	G	G	G	G	G	G	NA	P	P	G	NA	F	F	NA	F	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	G	G	NA	NA	NA	P	NA	F	NA	NA	NA	G	G	G	G	G	G	G	F	G	G	NA	G	G	G	NA	G	NA	NA	G	F	F	F	F	F	G	G	G	G	NA	G	G	NA	G	G	G	G	G	NA	G	G
Marbofloxacin	3rd	2.75-5.5 mg/kg, q 24 hrs	PO	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	G	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	G	NA	NA	I	I	NA	NA	G	NA	NA	NA	NA	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	G	NA	NA	NA	NA	NA	NA	G	F	F	G	F	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	NA	NA	NA	NA	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	F	G	G	P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pradofloxacin	3rd	3.0 mg/kg, q 24 hrs	PO	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	G	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	NA	I	I	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	F	NA	NA	NA	NA	NA	NA	NA	F	F	G	F	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	NA	NA	NA	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	F	F	G	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Enrofloxacin	3rd	5 mg/kg, q 24 hrs	PO	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	G	G	NA	NA	NA	G	G	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	G	NA	NA	I	I	NA	NA	G	NA	NA	NA	NA	P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	G	NA	NA	NA	NA	NA	NA	G	F	F	G	F	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	NA	NA	NA	NA	NA	NA	P	NA	NA	G	NA	NA	NA	NA	NA	NA	NA	NA	G	F	F	G	P	NA	NA	NA	NA	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ciprofloxacin	3rd	--	Topical Use	I	F	NA	NR	G	NR	NA	NA	NR	G	NR	G	G	G	NA	NA	I	I	I	NA	NA	NA	NA	NA	G	NA	NA	NA	NA	G	NA	NA	G	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	G	NA	NA	NA	NA	NA	G	G	G	G	G	G	I	I	NA	NR	G	NR	NR	NR	P	G	NA	NA	NA	G	G	G	G	NR	NA	G	P	G	G	G	G	NR	P	P	G	NA	F	F	F	F	G	G	NA	NR	G	G	NR	F	NR	NR	G	G	NA	NA	NA	NR	NA	NA	G	NR	P	NR	NA	NA	G	G	G	G	G	G	G	F	G	G	NA	G	G	G	G	G	NR	NR	G	F	F	F	F	F	G	NA	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NA	G	G
Ceftazidime	3rd	3-30 mg/kg, q 6-8 hrs	IV	I	G	NA	NR	G	NR	NA	NA	NR	G	NR	NR	NR	NR	NA	NA	NA	NA	NA	NA	NA	G	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	G	NR	NR	NR	NR	NR	NR	NR	NR	I	NR	NA	NA	NA	NA	NA	NA	NA	NA	I	N	NR	G	I	I	NR	NR	G	NR	NR	NR	NR	NA	NA	NA	NA	NA	G	G	G	NR	NA	G	N	NA	N	NA	G	NR	NA	NA	G	NA	I	I	I	I	I	NA	NA	NR	NR	NR	NR	NR	NR	NR	NR	I	G	G	G	NR	NA	NR	NR	NR	F	NA	NA	NA	G	G	G	G	G	G	G	G	G	G	NA	G	G	G	NA	G	NA	NA	G	N	N	N	N	N	NA	G	I	NA	I	NA	NA	I	NA	NA	NA	I	NA	NA	G	G
Mupirocin	3rd	--	Topical Use	NR	NR	NR	NA	NR	NA	NR	NR	NA	NR	NA	NA	NA	NA	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NR	NR	NA	NR	NR	NR	NR	NR	NR	I	NR	NR	I	I	NR	NA	I	NA	NA	NA	NA	NR	NR	NR	NA	NR	NR	NR	NR	NA	NR	NR	I	NR	I	NR	NR	NA	NA	NA	NR	NA	NR	NR	NR	NR	NR	NR	NR	NA	NA	NA	NA	NA	NA	NA	NA	NR	NR	NR	NR	NA	NR	NA	NA	NA	NA	NA	NR	NR	I	NR	NR	NR	NR	NR	NR	I	NR	NR	NA	NR	NR	NR	NR	NR	NA	NA	NR	F	F	G	F	F	NA	NR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NR	NR	NR
Nitrofurantoin	3rd	4.4-5mg/kg, q 24 hrs	PO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	NA	G	G	G	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	F	F	G	F	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colistin	3rd	8-9g/kg, q 24 hrs	PO	NA	NA	NA	NR	NA	NR	NA	NA	NR	NA	NR	NR	NR	NR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NA	NA	NR	NA	NA	NA	NA	NA	NA	F	NA	NA	I	I	NA	NR	F	NR	NR	NR	NR	NA	NA	NA	NA	NA	NA	NA	NA	NR	NA	NA	G	NA	F	NA	NA	NR	NA	NA	NA	NA	I	I	I	I	NA	NA	NA	NR	NR	NR	NR	NR	NR	NR	NR	P	NA	NA	NA	NR	NR	NR	NR	NR	NR	NR	NA	NA	F	NA	NA	NA	NA	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NR	NR	NA	I	I	I	I	I	NR	NA	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NA	NA	NA
Ticarcillin	3rd	3.1 g, q 4-6 hrs	IV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	NA	I	I	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	I	NA	NA	NA	NA	NA	NA	NA	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NR	I	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	NA	NA	G	NA	NA	NA	NA	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Piperacillin-Tazobactam	3rd	90 mg/kg, 30min q 8 hrs	IV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	NA	G	P	NA	NA	G	NA	NA	NA	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	NA	F	NA	NA	NA	NA	NA	NA	NA	I	I	I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NR	I	NA	NA	NA	NA	NA	NA	G	NA	G	NA	NA	NA	G	NA	NA	NA	NA	NA	NA	G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F	F	F	F	F	NA	NA	NA	NA	F	NA	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
